Sample Number (10000 samples per second),temperature (),setpoint (),control signal ()
125,26.5,29.0,99.0
126,26.5,29.0,99.0
127,26.5,29.0,99.0
128,26.5,29.0,99.0
129,26.5,29.0,99.0
130,26.5,29.0,99.0
131,26.5,29.0,99.0
132,26.5,29.0,99.0
133,26.6,29.0,99.0
134,26.6,29.0,99.0
135,26.6,29.0,99.0
136,26.6,29.0,99.0
137,26.6,29.0,99.0
138,26.6,29.0,99.0
139,26.6,29.0,99.0
140,26.6,29.0,99.0
141,26.6,29.0,99.0
142,26.6,29.0,99.0
143,26.7,29.0,99.0
144,26.7,29.0,99.0
145,26.7,29.0,99.0
146,26.7,29.0,99.0
147,26.7,29.0,99.0
148,26.7,29.0,99.0
149,26.7,29.0,99.0
150,26.8,29.0,99.0
151,26.7,29.0,99.0
152,26.8,29.0,99.0
153,26.8,29.0,99.0
154,26.8,29.0,99.0
155,26.8,29.0,99.0
156,26.8,29.0,99.0
157,26.8,29.0,99.0
158,26.8,29.0,99.0
159,26.8,29.0,99.0
160,26.8,29.0,99.0
161,26.8,29.0,99.0
162,26.8,29.0,99.0
163,26.9,29.0,99.0
164,26.9,29.0,99.0
165,26.9,29.0,99.0
166,26.9,29.0,99.0
167,26.9,29.0,99.0
168,26.9,29.0,99.0
169,26.9,29.0,99.0
170,26.9,29.0,1.0
171,26.9,29.0,99.0
172,26.9,29.0,29.0
173,26.9,29.0,35.0
174,26.9,29.0,26.0
175,26.9,29.0,47.0
176,27.0,29.0,53.0
177,26.9,29.0,90.0
178,27.0,29.0,80.0
179,27.0,29.0,99.0
180,27.0,29.0,99.0
181,27.0,29.0,99.0
182,27.0,29.0,99.0
183,27.0,29.0,99.0
184,27.0,29.0,99.0
185,27.0,29.0,99.0
186,27.0,29.0,99.0
187,27.0,29.0,99.0
188,27.0,29.0,99.0
189,27.0,29.0,99.0
190,27.0,29.0,99.0
191,27.0,29.0,99.0
192,27.1,29.0,99.0
193,27.1,29.0,99.0
194,27.1,29.0,99.0
195,27.1,29.0,99.0
196,27.1,29.0,99.0
197,27.1,29.0,99.0
198,27.1,29.0,99.0
199,27.1,29.0,99.0
200,27.1,29.0,99.0
201,27.1,29.0,99.0
202,27.1,29.0,99.0
203,27.1,29.0,99.0
204,27.1,29.0,99.0
205,27.1,29.0,99.0
206,27.1,29.0,99.0
207,27.1,29.0,99.0
208,27.1,29.0,99.0
209,27.2,29.0,99.0
210,27.2,29.0,99.0
211,27.2,29.0,99.0
212,27.2,29.0,99.0
213,27.2,29.0,99.0
214,27.2,29.0,99.0
215,27.2,29.0,99.0
216,27.2,29.0,99.0
217,27.2,29.0,99.0
218,27.2,29.0,99.0
219,27.2,29.0,99.0
220,27.2,29.0,99.0
221,27.2,29.0,99.0
222,27.2,29.0,99.0
223,27.2,29.0,99.0
224,27.2,29.0,99.0
225,27.2,29.0,99.0
226,27.2,29.0,99.0
227,27.2,29.0,99.0
228,27.3,29.0,99.0
229,27.3,29.0,99.0
230,27.3,29.0,99.0
231,27.3,29.0,99.0
232,27.3,29.0,99.0
233,27.3,29.0,99.0
234,27.3,29.0,99.0
235,27.3,29.0,99.0
236,27.3,29.0,99.0
237,27.3,29.0,99.0
238,27.3,29.0,99.0
239,27.3,29.0,99.0
240,27.3,29.0,99.0
241,27.4,29.0,99.0
242,27.4,29.0,99.0
243,27.4,29.0,99.0
244,27.4,29.0,99.0
245,27.4,29.0,99.0
246,27.4,29.0,99.0
247,27.4,29.0,99.0
248,27.4,29.0,99.0
249,27.4,29.0,99.0
250,27.4,29.0,99.0
251,27.4,29.0,99.0
252,27.4,29.0,99.0
253,27.4,29.0,99.0
254,27.5,29.0,99.0
255,27.5,29.0,99.0
256,27.5,29.0,99.0
257,27.5,29.0,99.0
258,27.5,29.0,99.0
259,27.5,29.0,99.0
260,27.5,29.0,99.0
261,27.5,29.0,99.0
262,27.5,29.0,99.0
263,27.5,29.0,99.0
264,27.5,29.0,99.0
265,27.5,29.0,99.0
266,27.5,29.0,99.0
267,27.5,29.0,99.0
268,27.5,29.0,99.0
269,27.5,29.0,99.0
270,27.5,29.0,99.0
271,27.6,29.0,99.0
272,27.6,29.0,99.0
273,27.6,29.0,99.0
274,27.6,29.0,99.0
275,27.6,29.0,99.0
276,27.6,29.0,99.0
277,27.6,29.0,99.0
278,27.6,29.0,99.0
279,27.6,29.0,99.0
280,27.6,29.0,99.0
281,27.6,29.0,99.0
282,27.6,29.0,99.0
283,27.6,29.0,99.0
284,27.6,29.0,99.0
285,27.6,29.0,99.0
286,27.7,29.0,99.0
287,27.7,29.0,99.0
288,27.7,29.0,99.0
289,27.7,29.0,99.0
290,27.7,29.0,99.0
291,27.7,29.0,99.0
292,27.7,29.0,99.0
293,27.7,29.0,99.0
294,27.7,29.0,99.0
295,27.7,29.0,99.0
296,27.7,29.0,99.0
297,27.7,29.0,99.0
298,27.7,29.0,99.0
299,27.8,29.0,99.0
300,27.8,29.0,99.0
301,27.8,29.0,99.0
302,27.8,29.0,99.0
303,27.8,29.0,99.0
304,27.8,29.0,99.0
305,27.8,29.0,99.0
306,27.8,29.0,99.0
307,27.8,29.0,99.0
308,27.8,29.0,99.0
309,27.8,29.0,99.0
310,27.8,29.0,99.0
311,27.8,29.0,99.0
312,27.8,29.0,99.0
313,27.8,29.0,99.0
314,27.9,29.0,99.0
315,27.9,29.0,99.0
316,27.9,29.0,99.0
317,27.9,29.0,99.0
318,27.9,29.0,99.0
319,27.9,29.0,99.0
320,27.9,29.0,99.0
321,27.9,29.0,99.0
322,27.9,29.0,99.0
323,27.9,29.0,99.0
324,27.9,29.0,99.0
325,27.9,29.0,99.0
326,27.9,29.0,99.0
327,27.9,29.0,99.0
328,28.0,29.0,99.0
329,27.9,29.0,99.0
330,28.0,29.0,99.0
331,28.0,29.0,99.0
332,28.0,29.0,99.0
333,28.0,29.0,99.0
334,28.0,29.0,99.0
335,28.0,29.0,99.0
336,28.0,29.0,99.0
337,28.0,29.0,99.0
338,28.0,29.0,99.0
339,28.0,29.0,99.0
340,28.0,29.0,99.0
341,28.0,29.0,99.0
342,28.0,29.0,99.0
343,28.0,29.0,99.0
344,28.1,29.0,99.0
345,28.1,29.0,99.0
346,28.1,29.0,99.0
347,28.1,29.0,99.0
348,28.1,29.0,99.0
349,28.1,29.0,99.0
350,28.1,29.0,99.0
351,28.1,29.0,99.0
352,28.1,29.0,99.0
353,28.1,29.0,99.0
354,28.1,29.0,99.0
355,28.1,29.0,99.0
356,28.1,29.0,99.0
357,28.1,29.0,99.0
358,28.1,29.0,99.0
359,28.1,29.0,99.0
360,28.1,29.0,99.0
361,28.2,29.0,99.0
362,28.2,29.0,99.0
363,28.2,29.0,99.0
364,28.2,29.0,99.0
365,28.2,29.0,99.0
366,28.2,29.0,99.0
367,28.2,29.0,99.0
368,28.2,29.0,99.0
369,28.2,29.0,99.0
370,28.2,29.0,99.0
371,28.2,29.0,99.0
372,28.2,29.0,99.0
373,28.2,29.0,99.0
374,28.2,29.0,99.0
375,28.2,29.0,99.0
376,28.2,29.0,99.0
377,28.2,29.0,99.0
378,28.2,29.0,99.0
379,28.2,29.0,99.0
380,28.3,29.0,99.0
381,28.3,29.0,99.0
382,28.3,29.0,99.0
383,28.3,29.0,99.0
384,28.3,29.0,99.0
385,28.3,29.0,99.0
386,28.3,29.0,99.0
387,28.3,29.0,99.0
388,28.3,29.0,99.0
389,28.3,29.0,99.0
390,28.3,29.0,99.0
391,28.3,29.0,99.0
392,28.3,29.0,99.0
393,28.3,29.0,99.0
394,28.3,29.0,99.0
395,28.3,29.0,99.0
396,28.3,29.0,99.0
397,28.4,29.0,99.0
398,28.4,29.0,99.0
399,28.4,29.0,99.0
400,28.4,29.0,99.0
401,28.4,29.0,99.0
402,28.4,29.0,99.0
403,28.4,29.0,99.0
404,28.4,29.0,99.0
405,28.4,29.0,99.0
406,28.4,29.0,99.0
407,28.4,29.0,99.0
408,28.4,29.0,99.0
409,28.4,29.0,99.0
410,28.4,29.0,99.0
411,28.4,29.0,99.0
412,28.4,29.0,99.0
413,28.4,29.0,99.0
414,28.4,29.0,99.0
415,28.4,29.0,99.0
416,28.4,29.0,99.0
417,28.5,29.0,99.0
418,28.5,29.0,99.0
419,28.5,29.0,99.0
420,28.5,29.0,99.0
421,28.5,29.0,99.0
422,28.5,29.0,99.0
423,28.5,29.0,99.0
424,28.5,29.0,99.0
425,28.5,29.0,99.0
426,28.5,29.0,99.0
427,28.5,29.0,99.0
428,28.5,29.0,99.0
429,28.5,29.0,99.0
430,28.5,29.0,99.0
431,28.5,29.0,99.0
432,28.5,29.0,99.0
433,28.5,29.0,99.0
434,28.5,29.0,99.0
435,28.5,29.0,99.0
436,28.5,29.0,99.0
437,28.5,29.0,99.0
438,28.5,29.0,99.0
439,28.5,29.0,99.0
440,28.5,29.0,99.0
441,28.5,29.0,99.0
442,28.5,29.0,99.0
443,28.5,29.0,99.0
444,28.5,29.0,99.0
445,28.5,29.0,99.0
446,28.6,29.0,99.0
447,28.6,29.0,99.0
448,28.6,29.0,99.0
449,28.6,29.0,99.0
450,28.6,29.0,99.0
451,28.6,29.0,99.0
452,28.6,29.0,99.0
453,28.6,29.0,99.0
454,28.6,29.0,99.0
455,28.6,29.0,99.0
456,28.6,29.0,99.0
457,28.6,29.0,99.0
458,28.6,29.0,99.0
459,28.6,29.0,99.0
460,28.6,29.0,99.0
461,28.6,29.0,99.0
462,28.6,29.0,99.0
463,28.6,29.0,99.0
464,28.6,29.0,99.0
465,28.6,29.0,99.0
466,28.6,29.0,99.0
467,28.6,29.0,99.0
468,28.7,29.0,99.0
469,28.6,29.0,99.0
470,28.6,29.0,99.0
471,28.7,29.0,99.0
472,28.7,29.0,99.0
473,28.7,29.0,99.0
474,28.7,29.0,99.0
475,28.7,29.0,99.0
476,28.7,29.0,99.0
477,28.7,29.0,99.0
478,28.7,29.0,99.0
479,28.7,29.0,99.0
480,28.7,29.0,99.0
481,28.7,29.0,99.0
482,28.7,29.0,99.0
483,28.7,29.0,99.0
484,28.7,29.0,99.0
485,28.7,29.0,99.0
486,28.7,29.0,99.0
487,28.7,29.0,99.0
488,28.7,29.0,99.0
489,28.7,29.0,99.0
490,28.7,29.0,99.0
491,28.7,29.0,99.0
492,28.7,29.0,99.0
493,28.8,29.0,99.0
494,28.8,29.0,99.0
495,28.8,29.0,99.0
496,28.8,29.0,99.0
497,28.8,29.0,99.0
498,28.8,29.0,99.0
499,28.8,29.0,99.0
500,28.8,29.0,99.0
501,28.8,29.0,99.0
502,28.8,29.0,99.0
503,28.8,29.0,99.0
504,28.8,29.0,99.0
505,28.8,29.0,99.0
506,28.8,29.0,99.0
507,28.8,29.0,99.0
508,28.8,29.0,99.0
509,28.8,29.0,99.0
510,28.8,29.0,99.0
511,28.8,29.0,99.0
512,28.8,29.0,99.0
513,28.8,29.0,99.0
514,28.8,29.0,99.0
515,28.8,29.0,99.0
516,28.8,29.0,99.0
517,28.9,29.0,99.0
518,28.8,29.0,99.0
519,28.9,29.0,99.0
520,28.9,29.0,99.0
521,28.9,29.0,99.0
522,28.9,29.0,99.0
523,28.9,29.0,99.0
524,28.9,29.0,99.0
525,28.9,29.0,99.0
526,28.9,29.0,99.0
527,28.9,29.0,99.0
528,28.9,29.0,99.0
529,28.9,29.0,99.0
530,28.9,29.0,99.0
531,28.9,29.0,99.0
532,28.9,29.0,99.0
533,28.9,29.0,99.0
534,28.9,29.0,99.0
535,28.9,29.0,99.0
536,28.9,29.0,99.0
537,28.9,29.0,99.0
538,28.9,29.0,99.0
539,28.9,29.0,99.0
540,28.9,29.0,99.0
541,28.9,29.0,99.0
542,28.9,29.0,99.0
543,28.9,29.0,99.0
544,28.9,29.0,99.0
545,28.9,29.0,99.0
546,28.9,29.0,99.0
547,28.9,29.0,99.0
548,28.9,29.0,99.0
549,28.9,29.0,99.0
550,28.9,29.0,99.0
551,29.0,29.0,99.0
552,29.0,29.0,99.0
553,28.9,29.0,99.0
554,29.0,29.0,99.0
555,29.0,29.0,99.0
556,29.0,29.0,99.0
557,29.0,29.0,99.0
558,29.0,29.0,99.0
559,29.0,29.0,99.0
560,29.0,29.0,99.0
561,29.0,29.0,99.0
562,29.0,29.0,99.0
563,29.0,29.0,99.0
564,29.0,29.0,99.0
565,29.0,29.0,99.0
566,29.0,29.0,99.0
567,29.0,29.0,99.0
568,29.0,29.0,99.0
569,29.0,29.0,99.0
570,29.0,29.0,99.0
571,29.0,29.0,99.0
572,29.0,29.0,99.0
573,29.0,29.0,99.0
574,29.0,29.0,99.0
575,29.0,29.0,99.0
576,29.0,29.0,99.0
577,29.0,29.0,99.0
578,29.0,29.0,99.0
579,29.0,29.0,99.0
580,29.0,29.0,99.0
581,29.0,29.0,99.0
582,29.0,29.0,99.0
583,29.0,29.0,99.0
584,29.0,29.0,99.0
585,29.0,29.0,99.0
586,29.1,29.0,99.0
587,29.1,29.0,99.0
588,29.1,29.0,99.0
589,29.1,29.0,99.0
590,29.1,29.0,99.0
591,29.1,29.0,99.0
592,29.1,29.0,99.0
593,29.1,29.0,99.0
594,29.1,29.0,99.0
595,29.1,29.0,99.0
596,29.1,29.0,99.0
597,29.1,29.0,99.0
598,29.1,29.0,99.0
599,29.1,29.0,99.0
600,29.1,29.0,99.0
601,29.1,29.0,99.0
602,29.1,29.0,99.0
603,29.1,29.0,99.0
604,29.1,29.0,99.0
605,29.1,29.0,99.0
606,29.1,29.0,99.0
607,29.1,29.0,99.0
608,29.1,29.0,99.0
609,29.1,29.0,99.0
610,29.1,29.0,99.0
611,29.1,29.0,99.0
612,29.1,29.0,99.0
613,29.1,29.0,99.0
614,29.1,29.0,99.0
615,29.1,29.0,99.0
616,29.1,29.0,99.0
617,29.1,29.0,99.0
618,29.1,29.0,99.0
619,29.1,29.0,99.0
620,29.1,29.0,99.0
621,29.1,29.0,99.0
622,29.1,29.0,99.0
623,29.1,29.0,99.0
624,29.1,29.0,99.0
625,29.1,29.0,99.0
626,29.1,29.0,99.0
627,29.1,29.0,99.0
628,29.2,29.0,99.0
629,29.2,29.0,99.0
630,29.2,29.0,99.0
631,29.2,29.0,99.0
632,29.2,29.0,99.0
633,29.2,29.0,99.0
634,29.2,29.0,99.0
635,29.2,29.0,99.0
636,29.2,29.0,99.0
637,29.2,29.0,99.0
638,29.2,29.0,99.0
639,29.2,29.0,99.0
640,29.2,29.0,99.0
641,29.2,29.0,99.0
642,29.2,29.0,99.0
643,29.2,29.0,99.0
644,29.2,29.0,99.0
645,29.2,29.0,99.0
646,29.2,29.0,99.0
647,29.2,29.0,99.0
648,29.2,29.0,99.0
649,29.2,29.0,99.0
650,29.2,29.0,99.0
651,29.2,29.0,99.0
652,29.2,29.0,99.0
653,29.2,29.0,99.0
654,29.2,29.0,96.0
655,29.2,29.0,94.0
656,29.2,29.0,92.0
657,29.2,29.0,90.0
658,29.2,29.0,99.0
659,29.2,29.0,86.0
660,29.2,29.0,84.0
661,29.2,29.0,66.0
662,29.2,29.0,64.0
663,29.2,29.0,77.0
664,29.2,29.0,75.0
665,29.2,29.0,57.0
666,29.2,29.0,70.0
667,29.2,29.0,53.0
668,29.2,29.0,66.0
669,29.2,29.0,49.0
670,29.2,29.0,46.0
671,29.2,29.0,59.0
672,29.2,29.0,57.0
673,29.2,29.0,70.0
674,29.2,29.0,68.0
675,29.2,29.0,66.0
676,29.2,29.0,79.0
677,29.2,29.0,62.0
678,29.2,29.0,60.0
679,29.2,29.0,73.0
680,29.2,29.0,56.0
681,29.2,29.0,69.0
682,29.2,29.0,67.0
683,29.2,29.0,65.0
684,29.2,29.0,78.0
685,29.2,29.0,61.0
686,29.2,29.0,75.0
687,29.2,29.0,73.0
688,29.2,29.0,86.0
689,29.2,29.0,69.0
690,29.2,29.0,67.0
691,29.2,29.0,66.0
692,29.2,29.0,79.0
693,29.2,29.0,77.0
694,29.2,29.0,91.0
695,29.2,29.0,89.0
696,29.2,29.0,87.0
697,29.2,29.0,86.0
698,29.1,29.0,99.0
699,29.1,29.0,98.0
700,29.1,29.0,99.0
701,29.1,29.0,95.0
702,29.1,29.0,99.0
703,29.1,29.0,99.0
704,29.1,29.0,99.0
705,29.1,29.0,89.0
706,29.1,29.0,99.0
707,29.1,29.0,99.0
708,29.1,29.0,99.0
709,29.1,29.0,98.0
710,29.1,29.0,97.0
711,29.1,29.0,95.0
712,29.1,29.0,99.0
713,29.1,29.0,99.0
714,29.1,29.0,99.0
715,29.1,29.0,90.0
716,29.1,29.0,99.0
717,29.1,29.0,87.0
718,29.1,29.0,86.0
719,29.1,29.0,99.0
720,29.1,29.0,98.0
721,29.1,29.0,82.0
722,29.1,29.0,95.0
723,29.1,29.0,94.0
724,29.1,29.0,78.0
725,29.1,29.0,91.0
726,29.1,29.0,90.0
727,29.1,29.0,73.0
728,29.1,29.0,87.0
729,29.1,29.0,99.0
730,29.1,29.0,85.0
731,29.1,29.0,98.0
732,29.1,29.0,82.0
733,29.1,29.0,96.0
734,29.1,29.0,95.0
735,29.1,29.0,93.0
736,29.1,29.0,92.0
737,29.1,29.0,91.0
738,29.1,29.0,90.0
739,29.1,29.0,88.0
740,29.1,29.0,87.0
741,29.1,29.0,86.0
742,29.1,29.0,85.0
743,29.1,29.0,68.0
744,29.1,29.0,67.0
745,29.1,29.0,96.0
746,29.1,29.0,80.0
747,29.1,29.0,79.0
748,29.1,29.0,77.0
749,29.1,29.0,91.0
750,29.1,29.0,75.0
751,29.1,29.0,89.0
752,29.1,29.0,88.0
753,29.1,29.0,87.0
754,29.1,29.0,86.0
755,29.1,29.0,84.0
756,29.1,29.0,83.0
757,29.1,29.0,82.0
758,29.1,29.0,81.0
759,29.1,29.0,95.0
760,29.1,29.0,94.0
761,29.1,29.0,78.0
762,29.1,29.0,77.0
763,29.1,29.0,76.0
764,29.1,29.0,90.0
765,29.1,29.0,99.0
766,29.1,29.0,88.0
767,29.1,29.0,99.0
768,29.1,29.0,86.0
769,29.1,29.0,85.0
770,29.1,29.0,84.0
771,29.1,29.0,83.0
772,29.1,29.0,82.0
773,29.1,29.0,81.0
774,29.1,29.0,80.0
775,29.1,29.0,79.0
776,29.1,29.0,78.0
777,29.1,29.0,77.0
778,29.1,29.0,75.0
779,29.1,29.0,90.0
780,29.1,29.0,89.0
781,29.1,29.0,73.0
782,29.1,29.0,87.0
783,29.1,29.0,86.0
784,29.1,29.0,85.0
785,29.1,29.0,69.0
786,29.1,29.0,83.0
787,29.1,29.0,82.0
788,29.1,29.0,81.0
789,29.1,29.0,80.0
790,29.1,29.0,79.0
791,29.1,29.0,94.0
792,29.1,29.0,78.0
793,29.1,29.0,92.0
794,29.1,29.0,91.0
795,29.1,29.0,90.0
796,29.1,29.0,74.0
797,29.1,29.0,88.0
798,29.1,29.0,88.0
799,29.1,29.0,87.0
800,29.1,29.0,86.0
801,29.1,29.0,85.0
802,29.1,29.0,84.0
803,29.1,29.0,99.0
804,29.1,29.0,83.0
805,29.1,29.0,82.0
806,29.1,29.0,81.0
807,29.1,29.0,95.0
808,29.1,29.0,95.0
809,29.1,29.0,94.0
810,29.1,29.0,93.0
811,29.1,29.0,93.0
812,29.1,29.0,92.0
813,29.1,29.0,91.0
814,29.1,29.0,99.0
815,29.1,29.0,99.0
816,29.1,29.0,99.0
817,29.1,29.0,89.0
818,29.1,29.0,99.0
819,29.1,29.0,87.0
820,29.1,29.0,99.0
821,29.1,29.0,99.0
822,29.1,29.0,99.0
823,29.1,29.0,99.0
824,29.1,29.0,84.0
825,29.1,29.0,99.0
826,29.1,29.0,98.0
827,29.0,29.0,99.0
828,29.1,29.0,97.0
829,29.1,29.0,96.0
830,29.1,29.0,80.0
831,29.1,29.0,80.0
832,29.1,29.0,79.0
833,29.1,29.0,93.0
834,29.1,29.0,78.0
835,29.1,29.0,92.0
836,29.1,29.0,61.0
837,29.1,29.0,76.0
838,29.1,29.0,60.0
839,29.1,29.0,44.0
840,29.1,29.0,58.0
841,29.1,29.0,72.0
842,29.1,29.0,72.0
843,29.1,29.0,56.0
844,29.1,29.0,55.0
845,29.1,29.0,69.0
846,29.1,29.0,68.0
847,29.1,29.0,68.0
848,29.1,29.0,82.0
849,29.1,29.0,82.0
850,29.1,29.0,66.0
851,29.1,29.0,80.0
852,29.1,29.0,80.0
853,29.1,29.0,64.0
854,29.1,29.0,78.0
855,29.1,29.0,78.0
856,29.0,29.0,92.0
857,29.1,29.0,77.0
858,29.1,29.0,76.0
859,29.1,29.0,75.0
860,29.0,29.0,90.0
861,29.0,29.0,89.0
862,29.1,29.0,74.0
863,29.1,29.0,73.0
864,29.1,29.0,72.0
865,29.0,29.0,87.0
866,29.1,29.0,71.0
867,29.1,29.0,71.0
868,29.1,29.0,70.0
869,29.1,29.0,69.0
870,29.0,29.0,84.0
871,29.0,29.0,83.0
872,29.0,29.0,98.0
873,29.0,29.0,83.0
874,29.0,29.0,97.0
875,29.0,29.0,82.0
876,29.0,29.0,81.0
877,29.0,29.0,81.0
878,29.0,29.0,99.0
879,29.0,29.0,99.0
880,29.0,29.0,99.0
881,29.0,29.0,99.0
882,29.0,29.0,99.0
883,29.0,29.0,99.0
884,29.0,29.0,99.0
885,29.0,29.0,99.0
886,29.0,29.0,99.0
887,29.0,29.0,99.0
888,29.0,29.0,99.0
889,29.0,29.0,99.0
890,29.0,29.0,99.0
891,29.0,29.0,99.0
892,29.0,29.0,99.0
893,29.0,29.0,99.0
894,29.0,29.0,99.0
895,29.0,29.0,99.0
896,29.0,29.0,99.0
897,29.0,29.0,99.0
898,29.0,29.0,99.0
899,29.0,29.0,99.0
900,29.0,29.0,99.0
901,29.0,29.0,99.0
902,29.0,29.0,99.0
903,29.0,29.0,99.0
904,29.0,29.0,99.0
905,29.0,29.0,99.0
906,29.0,29.0,99.0
907,29.0,29.0,99.0
908,29.0,29.0,99.0
909,29.0,29.0,99.0
910,29.0,29.0,99.0
911,29.0,29.0,99.0
912,29.0,29.0,99.0
913,29.0,29.0,99.0
914,29.0,29.0,99.0
915,29.0,29.0,99.0
916,29.0,29.0,96.0
917,29.0,29.0,95.0
918,29.0,29.0,99.0
919,29.0,29.0,79.0
920,29.0,29.0,94.0
921,29.0,29.0,94.0
922,29.0,29.0,93.0
923,29.0,29.0,93.0
924,29.0,29.0,77.0
925,29.0,29.0,77.0
926,29.0,29.0,76.0
927,29.0,29.0,76.0
928,29.0,29.0,75.0
929,29.0,29.0,75.0
930,29.0,29.0,74.0
931,29.1,29.0,58.0
932,29.0,29.0,73.0
933,29.0,29.0,72.0
934,29.0,29.0,72.0
935,29.1,29.0,56.0
936,29.0,29.0,71.0
937,29.0,29.0,70.0
938,29.0,29.0,70.0
939,29.0,29.0,69.0
940,29.0,29.0,69.0
941,29.0,29.0,68.0
942,29.0,29.0,68.0
943,29.0,29.0,67.0
944,29.0,29.0,67.0
945,29.0,29.0,66.0
946,29.0,29.0,66.0
947,29.0,29.0,80.0
948,29.0,29.0,65.0
949,29.0,29.0,79.0
950,29.0,29.0,64.0
951,29.0,29.0,78.0
952,29.0,29.0,93.0
953,29.0,29.0,78.0
954,29.0,29.0,77.0
955,29.0,29.0,92.0
956,29.0,29.0,99.0
957,29.0,29.0,92.0
958,29.0,29.0,91.0
959,29.0,29.0,99.0
960,29.0,29.0,91.0
961,29.0,29.0,99.0
962,29.0,29.0,99.0
963,29.0,29.0,99.0
964,29.0,29.0,99.0
965,29.0,29.0,99.0
966,29.0,29.0,99.0
967,29.0,29.0,99.0
968,29.0,29.0,99.0
969,29.0,29.0,99.0
970,29.0,29.0,99.0
971,29.0,29.0,99.0
972,29.0,29.0,99.0
973,29.0,29.0,99.0
974,29.0,29.0,99.0
975,29.0,29.0,99.0
976,29.0,29.0,99.0
977,29.0,29.0,99.0
978,29.0,29.0,99.0
979,29.0,29.0,99.0
980,29.0,29.0,99.0
981,29.0,29.0,99.0
982,29.0,29.0,99.0
983,29.0,29.0,99.0
984,29.0,29.0,99.0
985,29.0,29.0,99.0
986,29.0,29.0,99.0
987,29.0,29.0,99.0
988,29.0,29.0,99.0
989,29.0,29.0,99.0
990,29.0,29.0,87.0
991,29.0,29.0,87.0
992,29.0,29.0,99.0
993,29.0,29.0,86.0
994,29.0,29.0,86.0
