Sample Number (10000 samples per second),temperature (),setpoint (),control signal ()
0,25.5,29.0,99.0
1,25.5,29.0,99.0
2,25.5,29.0,99.0
3,25.5,29.0,99.0
4,25.5,29.0,99.0
5,25.5,29.0,99.0
6,25.5,29.0,99.0
7,25.5,29.0,99.0
8,25.5,29.0,99.0
9,25.5,29.0,99.0
10,25.5,29.0,99.0
11,25.5,29.0,99.0
12,25.5,29.0,99.0
13,25.5,29.0,99.0
14,25.5,29.0,99.0
15,25.5,29.0,99.0
16,25.5,29.0,99.0
17,25.5,29.0,99.0
18,25.5,29.0,99.0
19,25.5,29.0,99.0
20,25.5,29.0,99.0
21,25.5,29.0,99.0
22,25.6,29.0,99.0
23,25.6,29.0,99.0
24,25.6,29.0,99.0
25,25.6,29.0,99.0
26,25.6,29.0,99.0
27,25.6,29.0,99.0
28,25.6,29.0,99.0
29,25.6,29.0,99.0
30,25.6,29.0,99.0
31,25.6,29.0,99.0
32,25.6,29.0,99.0
33,25.6,29.0,99.0
34,25.6,29.0,99.0
35,25.6,29.0,99.0
36,25.7,29.0,99.0
37,25.7,29.0,99.0
38,25.7,29.0,99.0
39,25.7,29.0,99.0
40,25.7,29.0,99.0
41,25.7,29.0,99.0
42,25.7,29.0,99.0
43,25.7,29.0,99.0
44,25.7,29.0,99.0
45,25.7,29.0,99.0
46,25.8,29.0,99.0
47,25.8,29.0,99.0
48,25.8,29.0,99.0
49,25.8,29.0,99.0
50,25.8,29.0,99.0
51,25.8,29.0,99.0
52,25.8,29.0,99.0
53,25.8,29.0,99.0
54,25.8,29.0,99.0
55,25.9,29.0,99.0
56,25.9,29.0,99.0
57,25.9,29.0,99.0
58,25.9,29.0,99.0
59,25.9,29.0,99.0
60,25.9,29.0,99.0
61,25.9,29.0,99.0
62,25.9,29.0,99.0
63,25.9,29.0,99.0
64,25.9,29.0,99.0
65,25.9,29.0,99.0
66,26.0,29.0,99.0
67,26.0,29.0,99.0
68,26.0,29.0,99.0
69,26.0,29.0,99.0
70,26.0,29.0,99.0
71,26.0,29.0,99.0
72,26.0,29.0,99.0
73,26.0,29.0,99.0
74,26.0,29.0,99.0
75,26.0,29.0,99.0
76,26.0,29.0,99.0
77,26.0,29.0,99.0
78,26.1,29.0,99.0
79,26.1,29.0,99.0
80,26.1,29.0,99.0
81,26.1,29.0,99.0
82,26.1,29.0,99.0
83,26.1,29.0,99.0
84,26.1,29.0,99.0
85,26.1,29.0,99.0
86,26.1,29.0,99.0
87,26.2,29.0,99.0
88,26.2,29.0,99.0
89,26.2,29.0,99.0
90,26.2,29.0,99.0
91,26.2,29.0,99.0
92,26.2,29.0,99.0
93,26.2,29.0,99.0
94,26.2,29.0,99.0
95,26.2,29.0,99.0
96,26.3,29.0,99.0
97,26.2,29.0,99.0
98,26.2,29.0,99.0
99,26.3,29.0,99.0
100,26.3,29.0,99.0
101,26.3,29.0,99.0
102,26.3,29.0,99.0
103,26.3,29.0,99.0
104,26.3,29.0,99.0
105,26.3,29.0,99.0
106,26.3,29.0,99.0
107,26.3,29.0,99.0
108,26.4,29.0,99.0
109,26.4,29.0,99.0
110,26.4,29.0,99.0
111,26.4,29.0,99.0
112,26.4,29.0,99.0
113,26.4,29.0,99.0
114,26.4,29.0,99.0
115,26.4,29.0,99.0
116,26.4,29.0,99.0
117,26.4,29.0,99.0
118,26.4,29.0,99.0
119,26.4,29.0,99.0
120,26.5,29.0,99.0
121,26.5,29.0,99.0
122,26.5,29.0,99.0
123,26.5,29.0,99.0
124,26.5,29.0,99.0
