Sample Number (10000 samples per second),temperature (),setpoint (),control signal ()
1856,26.98,27.0,56.0
1857,26.98,27.0,56.0
1858,26.97,27.0,71.0
1859,26.98,27.0,56.0
1860,26.97,27.0,72.0
1861,26.98,27.0,57.0
1862,26.97,27.0,72.0
1863,26.98,27.0,57.0
1864,26.98,27.0,58.0
1865,26.99,27.0,43.0
1866,26.98,27.0,58.0
1867,26.99,27.0,43.0
1868,26.98,27.0,58.0
1869,26.98,27.0,58.0
1870,27.0,27.0,28.0
1871,26.99,27.0,43.0
1872,26.99,27.0,44.0
1873,26.99,27.0,44.0
1874,26.99,27.0,44.0
1875,26.99,27.0,44.0
1876,27.0,27.0,29.0
1877,26.99,27.0,44.0
1878,26.99,27.0,44.0
1879,26.99,27.0,44.0
1880,26.99,27.0,44.0
1881,27.0,27.0,29.0
1882,27.0,27.0,29.0
1883,27.0,27.0,29.0
1884,27.0,27.0,29.0
1885,27.0,27.0,29.0
1886,27.0,27.0,29.0
1887,26.99,27.0,44.0
1888,26.99,27.0,45.0
1889,27.0,27.0,29.0
1890,26.99,27.0,45.0
1891,27.0,27.0,30.0
1892,27.0,27.0,30.0
1893,26.99,27.0,45.0
1894,27.0,27.0,30.0
1895,27.0,27.0,30.0
1896,26.99,27.0,45.0
1897,27.0,27.0,30.0
1898,26.98,27.0,60.0
1899,26.99,27.0,45.0
1900,26.99,27.0,45.0
1901,26.99,27.0,45.0
1902,26.98,27.0,61.0
1903,26.98,27.0,61.0
1904,26.98,27.0,61.0
1905,26.98,27.0,61.0
1906,26.98,27.0,61.0
1907,26.99,27.0,46.0
1908,27.0,27.0,31.0
1909,26.99,27.0,47.0
1910,26.99,27.0,47.0
1911,26.99,27.0,47.0
1912,26.99,27.0,47.0
1913,26.99,27.0,47.0
1914,26.99,27.0,47.0
1915,26.99,27.0,47.0
1916,26.99,27.0,47.0
1917,26.99,27.0,47.0
1918,26.99,27.0,47.0
